Model,Test R²,Test RMSE,Test MAE,Test MAPE (%)
xgboost_gpu,0.7684580573418167,78.39747168026365,29.530197651136053,33.548570241370676
random_forest,0.6407514704636512,97.65280444926677,44.707407606442345,57.99301000448247
neural_network,0.5258273113637448,112.1903462786233,54.224077089857715,75.95469545569573
decision_tree,0.3804083094694781,128.2448733179651,57.69229728639459,71.8193354815533
